ID,NAME,TIME,TEXT,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT,SENTIMENT,scenario,theme
17,<Théo-Soutien-Harceleur>,[2:47:42 PM],qu'est qu'elle a l'autre rousse? tu défend les putes,bully_support,OAG,victim/victim_support,NCG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
18,<Soan-Soutien-Victime>,[2:47:53 PM],piste ta tete endirerb un monstre poto,victim_support,OAG,bully_support,NCG,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
19,<Théo-Soutien-Harceleur>,[2:48:02 PM],c'est toi la moche sale serbe de mes couilles,bully_support,OAG,victim_support,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
20,<Soan-Soutien-Victime>,[2:48:21 PM],moi silvia on est les plus belle bande de fdp,victim_support,OAG,bully/bully_support,NCG,DFN,NULL,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
21,<Théo-Soutien-Harceleur>,[2:48:26 PM],va retourner voler des montres,bully_support,OAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
22,<Adrien-Harceleur>,[2:48:34 PM],en plus tes la tu vien de serbi,bully,OAG,victim_support,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
23,<Soan-Soutien-Victime>,[2:48:40 PM],et  elle ten merde niker vos grand mere,victim_support,OAG,bully,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
24,<Théo-Soutien-Harceleur>,[2:49:06 PM],va te faire enculer sale rousse,bully_support,OAG,victim_support,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
25,<Silvia-Victime>,[2:49:08 PM],"la serbie c'esst le sang,  vous etes jaloux c'est tout",victim,NAG,NULL,NULL,DFN,ATK,NEU,scenario_ethnicity_Sylvia_Adrien,ethnicity
26,<Théo-Soutien-Harceleur>,[2:49:14 PM],va sucer tes profs,bully_support,OAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
27,<Soan-Soutien-Victime>,[2:49:17 PM],grave,victim_support,NAG,NULL,NULL,EMP,DFN,NEU,scenario_ethnicity_Sylvia_Adrien,ethnicity
28,<Silvia-Victime>,[2:49:26 PM],retournez sucer lucas et sophie,victim,OAG,bully_support,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
29,<Soan-Soutien-Victime>,[2:49:27 PM],va deterrer tes mort,victim_support,OAG,bully_support,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
30,<Théo-Soutien-Harceleur>,[2:49:48 PM],niquez vos mères en Serbie,bully_support,OAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
31,<Camille-Soutien-Harceleur>,[2:49:50 PM],le con de tes mortttttttt soan t une pute tfacon t la plus gross victime,bully_support,OAG,victim_support,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
32,<Soan-Soutien-Victime>,[2:49:54 PM],bande de sombre pute lucas arrete de faire le beau avec ta petite bite,victim_support,OAG,bully/bully_support,OTH,DFN,NULL,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
33,<Hébert-Conciliateur>,[2:50:12 PM],adrien et silvia arreter srx,conciliator,NAG,NULL,NULL,CR,NULL,NEU,scenario_ethnicity_Sylvia_Adrien,ethnicity
34,<Adrien-Harceleur>,[2:50:13 PM],retourne en serbie et il y aura plus de probleme fdp,bully,OAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
36,<Théo-Soutien-Harceleur>,[2:50:42 PM],qu'est ce ta helbert?,bully_support,OAG,conciliator,OTH,ATK,CR,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
37,<Hébert-Conciliateur>,[2:50:52 PM],sa sert a r de se prendre la tete comme des enfants,conciliator,NAG,NULL,NULL,CR,NULL,NEU,scenario_ethnicity_Sylvia_Adrien,ethnicity
38,<Camille-Soutien-Harceleur>,[2:50:59 PM],on arrete rien du tout pk elle assume pas cette salopeee,bully_support,OAG,victim,NCG,ATK,CR,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
39,<Soan-Soutien-Victime>,[2:51:02 PM],vos tete de sperm,victim_support,OAG,bully_support,NCG,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
40,<Adrien-Harceleur>,[2:51:14 PM],assume,bully,NAG,NULL,NULL,OTH,NULL,NEU,scenario_ethnicity_Sylvia_Adrien,ethnicity
41,<Soan-Soutien-Victime>,[2:51:23 PM],vous puez de la shnek bande de crasseuse,victim_support,OAG,bully/bully_support,OTH,DFN,NULL,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
42,<Silvia-Victime>,[2:51:29 PM],ouai c'est eux qui m'insultent genre normal alors que leur pote il me drague tranquile,victim,NAG,NULL,NULL,DFN,NULL,NEG,scenario_ethnicity_Sylvia_Adrien,ethnicity
0,<Diana>,[2019-06-13 14:04:07],hy,bully_support,NAG,NULL,NULL,OTH,NULL,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
1,<Diana>,[2019-06-13 14:05:54],👋,bully_support,NAG,NULL,NULL,OTH,NULL,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
2,<Silvia_Victime>,[2019-06-13 14:06:23],Salut,victim,NAG,NULL,NULL,OTH,OTH,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
3,<Adrien_harceleur>,[2019-06-13 14:11:30],salut,bully,NAG,NULL,NULL,OTH,OTH,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
4,<Silvia_Victime>,[2019-06-13 14:11:46]," Salut Adri,  ça va?",victim,NAG,NULL,NULL,OTH,OTH,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
7,<Adrien_harceleur>,[2019-06-13 14:12:16],déja toi sylvia me parle pas,bully,NAG,NULL,NULL,OTH,OTH,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
8,<Silvia_Victime>,[2019-06-13 14:12:23],pq tu dis ça?,victim,NAG,NULL,NULL,OTH,OTH,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
9,<Adrien_harceleur>,[2019-06-13 14:12:47],t as vu ce que t as fait a la soiré sale pute,bully,OAG,victim,NCG,AIN,OTH,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
10,<Silvia_Victime>,[2019-06-13 14:12:57],euh quelle soirée?,victim,NAG,NULL,NULL,DFN,AIN,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
11,<Silvia_Victime>,[2019-06-13 14:13:02],et pq tu me traites de pute?,victim,NAG,NULL,NULL,DFN,AIN,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
12,<Diana>,[2019-06-13 14:13:04],c'est clair tu abuses !,bully_support,NAG,NULL,NULL,OTH,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
13,<Herbert_concil>,[2019-06-13 14:13:10],calme toi adri,conciliator,NAG,NULL,NULL,CR,AIN,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
14,<Silvia_Victime>,[2019-06-13 14:13:10],t'as un problème ?,victim,NAG,NULL,NULL,DFN,AIN,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
15,<Adrien_harceleur>,[2019-06-13 14:13:18],oui c toi,bully,OAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
16,<Silvia_Victime>,[2019-06-13 14:13:30],et toi Diana avec ta gueule de macaque de quoi tu parles?,victim,OAG,bully_support,DNG,DFN,OTH,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
17,<Adrien_harceleur>,[2019-06-13 14:13:55],commence pas a parler d elle comme ca,bully,NAG,NULL,NULL,OTH,DFN,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
18,<Soan_SoutienV>,[2019-06-13 14:14:03],C pas de sa faute c Lucas,victim_support,NAG,NULL,NULL,CNS,ATK,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
19,<Silvia_Victime>,[2019-06-13 14:14:08],c'est quoi ton fucking pblm,victim,NAG,NULL,NULL,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
20,<Amos_soutienAdri>,[2019-06-13 14:14:10],Tu t'es jamais vu au miroir? avant de parler,bully_support,CAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
21,<Silvia_Victime>,[2019-06-13 14:14:13],merci Soan,victim,NAG,NULL,NULL,EMP,CNS,POS,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
22,<Silvia_Victime>,[2019-06-13 14:14:23],*dans le miroir,victim,CAG,bully_support,DNG,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
23,<Silvia_Victime>,[2019-06-13 14:14:29],achète un bescherelle,victim,CAG,bully_support,DNG,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
24,<Herbert_concil>,[2019-06-13 14:14:37],Les gars faut pas en faire toute une histoire calmez vous,conciliator,NAG,NULL,NULL,CR,NULL,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
25,<Silvia_Victime>,[2019-06-13 14:14:45],de quoi on parle merde?,victim,NAG,NULL,NULL,OTH,NULL,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
26,<Amos_soutienAdri>,[2019-06-13 14:14:56],je suis espagnol pardon de ne pas tout savoir connasse,bully_support,OAG,victim,NCG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
27,<Silvia_Victime>,[2019-06-13 14:15:11],de où je suis une connasse?,victim,NAG,NULL,NULL,DFN,ATK,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
28,<Diana>,[2019-06-13 14:15:18],tu as embrasser Lucas alors que sophia est ta pote !,bully_support,OAG,victim,DNG,ATK,DFN,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
29,<Diana>,[2019-06-13 14:15:27],tu as foutu la merde dans leurs couple,bully_support,OAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
30,<Diana>,[2019-06-13 14:15:31],c'est dégeulasse,bully_support,OAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
31,<Amos_soutienAdri>,[2019-06-13 14:15:32],bravo. je te complimente,bully_support,NAG,NULL,NULL,AIN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
32,<Silvia_Victime>,[2019-06-13 14:15:37],c'est Lucas qui a mis sa langue dans ma bouche donc déjà tu redescends,victim,NAG,NULL,NULL,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
33,<Adrien_harceleur>,[2019-06-13 14:15:53],sylvia t vraiment la pire des grosses salope tu savait qu il été en couple est tu la embrassé ta aucun *e race,bully,OAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
34,<Amos_soutienAdri>,[2019-06-13 14:15:58],en plus tu dis que c'est sa faute,bully_support,NAG,NULL,NULL,AIN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
35,<Silvia_Victime>,[2019-06-13 14:15:59],j'y peux rien si elle est pas foutue de tenir son mec,victim,NAG,NULL,NULL,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
36,<Adrien_harceleur>,[2019-06-13 14:16:04],vas crevé en enfer,bully,OAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
37,<Silvia_Victime>,[2019-06-13 14:16:15],Avec ta mère Adrien,victim,OAG,bully,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
38,<Diana>,[2019-06-13 14:16:16],En plus d'etre une  aguicheusse de merde tu es une menteuse,bully_support,OAG,victim,NCG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
39,<Amos_soutienAdri>,[2019-06-13 14:16:19],sa faute*,bully_support,NAG,NULL,NULL,AIN,ATK,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
40,<Soan_SoutienV>,[2019-06-13 14:16:24],Arreter laisser la tranquille elle a rien fait,victim_support,NAG,NULL,NULL,CNS,ATK,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
41,<Herbert_concil>,[2019-06-13 14:16:37],Puis ça arrive,conciliator,NAG,NULL,NULL,CR,NULL,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
42,<Amos_soutienAdri>,[2019-06-13 14:16:45],San tas rien fait et ne fait rien mnt,bully_support,NAG,NULL,NULL,OTH,CNS,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
43,<Adrien_harceleur>,[2019-06-13 14:16:49],toi ta mere c satan,bully,OAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
44,<Silvia_Victime>,[2019-06-13 14:16:51],Il a mis sa langue dans ma bouche j'ai rien fait pour la retirer mais faut te calmùer avec les insultes,victim,NAG,NULL,NULL,CNS,ATK,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
45,<Amos_soutienAdri>,[2019-06-13 14:16:52],soan,bully_support,NAG,NULL,NULL,OTH,CNS,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
46,<Silvia_Victime>,[2019-06-13 14:16:54],c'est pas cool,victim,NAG,NULL,NULL,CNS,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
47,<Diana>,[2019-06-13 14:17:07],non sa arrive pas elle ne peux pas se trouver un mec sans foutre le couple des autres en l'air !,bully_support,OAG,victim,DNG,ATK,CR,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
48,<Amos_soutienAdri>,[2019-06-13 14:17:22],t'es sérieuse? en plus tu continue,bully_support,NAG,NULL,NULL,GSL,CNS,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
49,<Silvia_Victime>,[2019-06-13 14:17:23],Si elle est mauvaise au pieu c'est pas de ma faute,victim,OAG,NULL,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
50,<Adrien_harceleur>,[2019-06-13 14:17:27],arrete de mentir,bully,OAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
51,<Herbert_concil>,[2019-06-13 14:17:30],Elle a pas réfléchit puis Lucas à sa part de responsabilité,conciliator,NAG,NULL,NULL,EMP,DFN,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
52,<Silvia_Victime>,[2019-06-13 14:17:38],merci Herbert,victim,NAG,NULL,NULL,OTH,EMP,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
53,<Amos_soutienAdri>,[2019-06-13 14:17:40],tu pouvais juste ne pas l'embrasser c'est ta faute boulette,bully_support,OAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
54,<Silvia_Victime>,[2019-06-13 14:18:04],vaut mieux être un boulette baisable qu'un bâton frigide,victim,CAG,bully_support,NCG,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
55,<Silvia_Victime>,[2019-06-13 14:18:54],plus rien à dire?,victim,CAG,bully_support,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
56,<Amos_soutienAdri>,[2019-06-13 14:18:54]," oula,  t'attaques? ",bully_support,CAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
57,<Diana>,[2019-06-13 14:18:54],il voulait pas LUI!,bully_support,CAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
58,<Adrien_harceleur>,[2019-06-13 14:18:57],e a de queue un trans travelo,bully,OAG,victim,OTH,AIN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
59,<Silvia_Victime>,[2019-06-13 14:19:11],en fcs ça donne quoi Einstein?,victim,CAG,bully,OTH,DFN,AIN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
60,<Herbert_concil>,[2019-06-13 14:19:12],Oh calmez-vous on est quand même pote tout de même,conciliator,NAG,NULL,NULL,CR,NULL,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
61,<Silvia_Victime>,[2019-06-13 14:19:28],je le pensais mais bon,victim,NAG,NULL,NULL,OTH,CR,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
62,<Diana>,[2019-06-13 14:19:41],je suis pas potes avec des aguicheuse pareil ! je voudrait pas qu'on me pennes attentionner mon copain,bully_support,OAG,victim,DNG,ATK,CR,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
63,<Amos_soutienAdri>,[2019-06-13 14:19:49],tais-toi,bully_support,OAG,victim,OTH,ATK,OTH,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
64,<Adrien_harceleur>,[2019-06-13 14:19:50],apprend a lire avant de me parler,bully,CAG,victim,DNG,ATK,OTH,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
65,<Diana>,[2019-06-13 14:20:08],attentionnellement*,bully_support,OAG,victim,DNG,ATK,CR,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
66,<Silvia_Victime>,[2019-06-13 14:20:09],je pique les mecs moi apparement,victim,CAG,bully_support,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
67,<Silvia_Victime>,[2019-06-13 14:20:14],j'ai pas besoin de savoir lire,victim,NAG,NULL,NULL,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
68,<Diana>,[2019-06-13 14:20:17],ouais,bully_support,NAG,NULL,NULL,AIN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
69,<Amos_soutienAdri>,[2019-06-13 14:20:28],ohhh ca part bien,bully_support,CAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
70,<Adrien_harceleur>,[2019-06-13 14:20:32],parceque t une pute qui les chauffe et qui les paie,bully,OAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
71,<Diana>,[2019-06-13 14:20:38],t'es une pute qui n'arrive pas a trouver de mec,bully_support,OAG,victim,DNG,AIN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
72,<Silvia_Victime>,[2019-06-13 14:20:43],c'est ton père qui les paie,victim,OAG,bully,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
73,<Adrien_harceleur>,[2019-06-13 14:20:44],et apres tu leur donne des MST,bully,OAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
74,<Amos_soutienAdri>,[2019-06-13 14:20:44],si tu veux être une pute personne t'oblige a lire,bully_support,OAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
75,<Silvia_Victime>,[2019-06-13 14:21:02],personne oblige ta soeur à savoir lire non plus,victim,CAG,bully_support,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
76,<Adrien_harceleur>,[2019-06-13 14:21:08],le mien il a de l argent au moins,bully,CAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
77,<Silvia_Victime>,[2019-06-13 14:21:15],et il apie,victim,OAG,bully,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
78,<Silvia_Victime>,[2019-06-13 14:21:17],paie,victim,OAG,bully,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
79,<Adrien_harceleur>,[2019-06-13 14:21:25],il m envoie pas au bar a pute comme toi,bully,OAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
80,<Diana>,[2019-06-13 14:21:35],tout sa parce que t'es jalouse de leurs amour connasse,bully_support,OAG,victim,NCG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
81,<Silvia_Victime>,[2019-06-13 14:21:37],il a pas besoin d'aller au bar,victim,OAG,bully,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
82,<Silvia_Victime>,[2019-06-13 14:21:42],il leur paie des apparts privés,victim,OAG,bully,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
83,<Adrien_harceleur>,[2019-06-13 14:21:43],apprend a écrire connasse,bully,OAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
84,<Amos_soutienAdri>,[2019-06-13 14:21:53],après c'est pas difficile savoir où t'es pendant la nuit,bully_support,CAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
85,<Adrien_harceleur>,[2019-06-13 14:22:15],t conne,bully,OAG,victim,NCG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
86,<Adrien_harceleur>,[2019-06-13 14:22:19],pute,bully,OAG,victim,NCG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
87,<Adrien_harceleur>,[2019-06-13 14:22:22],salope,bully,OAG,victim,NCG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
88,<Adrien_harceleur>,[2019-06-13 14:22:25],enculé,bully,OAG,victim,NCG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
89,<Herbert_concil>,[2019-06-13 14:22:25],Adri calme-toi ça sert à rien de sénerver,conciliator,NAG,NULL,NULL,CR,ATK,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
90,<Amos_soutienAdri>,[2019-06-13 14:22:31],alors plus rien à dire Silvia?,bully_support,CAG,victim,OTH,ATK,NULL,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
91,<Silvia_Victime>,[2019-06-13 14:22:41],écoute si tu es frustré pcq tu en as une mini c'est pas de ma faute,victim,OAG,bully,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
92,<Amos_soutienAdri>,[2019-06-13 14:22:49],T'as enfin fermé ta gueule?,bully_support,OAG,victim,OTH,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
93,<Adrien_harceleur>,[2019-06-13 14:22:54],te mele pas de ca herbert,bully,NAG,NULL,NULL,OTH,CR,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
94,<Silvia_Victime>,[2019-06-13 14:22:59],même une aveugle cul de jatte serait pas excitée par toi,victim,OAG,bully,OTH,DFN,ATK,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
95,<Soan_SoutienV>,[2019-06-13 14:23:01],On se calme arreter de l'attaquer tout le temps a la fin,victim_support,NAG,NULL,NULL,CR,NULL,NEU,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
96,<Silvia_Victime>,[2019-06-13 14:23:18],Tkt Soan ils me font pitié,victim,NAG,NULL,NULL,OTH,CR,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
97,<Diana>,[2019-06-13 14:23:22],tu prend tout ton temps pour embrasser des mecs en couple c'est sa ?,bully_support,OAG,victim,DNG,ATK,DFN,NEG,scenario_ethnicity_Sylvia_Adrien_bis,ethnicity
